,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player▲,Dist.,2P.2,3P.2,%FGA,DRTG
0,Precious Achiuwa,C,23,TOR,55,1140,15.2,0.554,0.267,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,Precious Achiuwa,9.8,0.629,1.0,0.141,115.6
1,Steven Adams,C,29,MEM,42,1133,17.5,0.564,0.004,0.49,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7,Steven Adams,2.6,0.503,0.0,0.163,109.0
2,Bam Adebayo,C,25,MIA,75,2598,20.1,0.592,0.011,0.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,Bam Adebayo,7.4,0.601,1.0,0.136,111.2
3,Ochai Agbaji,SG,22,UTA,59,1209,9.5,0.561,0.591,0.179,3.9,6.9,5.4,7.5,0.6,1.0,9.0,15.8,0.9,0.4,1.3,0.053,-1.7,-1.4,-3.0,-0.3,Ochai Agbaji,16.9,0.762,0.988,0.054,114.6
4,Santi Aldama,PF,22,MEM,77,1682,13.9,0.591,0.507,0.274,5.4,18.0,11.7,7.6,1.3,2.6,9.3,16.0,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,Santi Aldama,14.6,0.68,0.968,0.118,110.2
5,Nickeil Alexander-Walker,SG,24,TOT,59,884,11.6,0.565,0.539,0.203,1.9,10.5,6.3,16.7,1.7,2.0,14.6,17.9,0.3,0.8,1.1,0.062,-1.4,0.4,-0.9,0.2,Nickeil Alexander-Walker,16.9,0.329,0.803,0.01,111.8
6,Grayson Allen,SG,27,MIL,72,1972,12.3,0.612,0.657,0.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1.0,Grayson Allen,18.7,0.606,0.884,0.027,109.1
7,Jarrett Allen,C,24,CLE,68,2220,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,5.5,4.0,9.5,0.205,1.3,1.0,2.4,2.4,Jarrett Allen,4.4,0.774,1.0,0.319,108.8
8,Jose Alvarado,PG,24,NOP,61,1310,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,0.1,1.7,1.8,0.066,-2.0,0.7,-1.2,0.3,Jose Alvarado,15.6,0.381,0.94,0.0,108.4
9,Kyle Anderson,PF,29,MIN,69,1957,14.8,0.583,0.212,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,2.5,2.6,5.1,0.125,0.2,2.3,2.5,2.2,Kyle Anderson,9.9,0.512,0.93,0.02,111.7
